titulo,tipo,ano,capa,sinopse,categoria
Patrulha Canina: Uma Aventura Dino,Filme,2026.0,https://image.tmdb.org/t/p/w500/zyQ0KOfyuTyBYHAQ7wl7XrrOBH2.jpg,"A Patrulha Canina para em uma misteriosa ilha de dinossauros, onde conhecem Rex, um filhote perdido. Quando a mineração imprudente de Humdinger provoca a erupção de um vulcão, a equipe enfrenta a maior missão de resgate para salvar a ilha.",Aventura e Fantasia
O Segredo de Widow's Bay,Série,2026.0,https://image.tmdb.org/t/p/w500/hazWZ75ml5Er3MQsFetIzoeWs99.jpg,"Um prefeito da Nova Inglaterra, tentando impulsionar o turismo, precisa lidar com estranhos acontecimentos que sugerem que sua ilha pode estar amaldiçoada.",Blockbusters & Fura-Bolha
The Paper,Série,2025.0,https://image.tmdb.org/t/p/w500/ySA5MvhoxTdezNUMe0ifPmhxH4w.jpg,"The Paper é uma comédia em formato mockumentary ambientada no mesmo universo de The Office. A nova série deixa os papéis de uma empresa de papel para trás e mergulha no mundo caótico de uma redação jornalística tradicional, agora à beira da falência. Em meio a cortes orçamentários, pressões por audiência digital e um jornalismo em constante transformação, os funcionários deste jornal histórico tentam manter a relevância e a sanidade no dia a dia. Com novos personagens tão excêntricos quanto os de Scranton, The Paper acompanha as desventuras de jornalistas, editores e estagiários em um ambiente de trabalho onde o absurdo é rotina e a crise é constante. Misturando humor ácido, crítica social e situações embaraçosamente reais, a série oferece uma nova perspectiva sobre o ambiente profissional e prova que, mesmo em tempos difíceis, ainda há espaço para rir do caos.",Ficção Científica
Toy Story 5,Filme,2026.0,https://image.tmdb.org/t/p/w500/sssrBhdvDcczgMQYDc8oCoSuFEJ.jpg,"O trabalho de Buzz, Woody, Jessie e do resto da gangue fica exponencialmente mais difícil quando eles enfrentam uma nova ameaça à diversão: a tecnologia.",Comfort Movies
Ted Lasso,Série,2020.0,https://image.tmdb.org/t/p/w500/uRHsiw1wLxPHFXkkv4Ix1s0O6f4.jpg,"Ted Lasso, um técnico de futebol americano que se muda para a Inglaterra para treinar um time de futebol, apesar da falta de experiência. Com jogadores e cidade desconfiados, será que ele vai conseguir conquistá-los?",Blockbusters & Fura-Bolha
Por Que Eu Me Casei de Novo?,Filme,2026.0,https://image.tmdb.org/t/p/w500/bHMtdZFZztcAE5uHHhsY2pWRPB9.jpg,"Os casais se reencontram para o matrimônio da filha de Marcus e Angela, trazendo à tona dramas novos e antigos. Por que será que essa turma se casou, hein?",Blockbusters & Fura-Bolha
The Rivals of Amziah King,Filme,2026.0,https://image.tmdb.org/t/p/w500/gNJ1ETFktNGHskihuToVGWYC3mC.jpg,,Blockbusters & Fura-Bolha
Backrooms: Um Não-Lugar,Filme,2026.0,https://image.tmdb.org/t/p/w500/a1pgQeEge47xrS4jGlDwIHiieVK.jpg,"Em 1990, o vendedor de móveis Clark descobre em sua loja um portal para os ""Backrooms"", um labirinto infinito de escritórios surreais. Fascinado, ele convence sua funcionária Kat e o namorado dela a mapearem as anomalias do local. Após o desaparecimento de Clark, sua terapeuta, a Dra. Mary Kline, mergulha na dimensão impossível para resgatá-lo, sendo forçada a confrontar seus próprios traumas enquanto busca uma saída.",Romance
交锋,Série,2026.0,https://image.tmdb.org/t/p/w500/gRe5FZjMWw8xXzWk1hxWuNQckOg.jpg,,Blockbusters & Fura-Bolha
The Walking Dead: Dead City,Série,2023.0,https://image.tmdb.org/t/p/w500/oC4SG9TXM0C6KUoAUv76WOvQ103.jpg,"Maggie e Negan viajam para uma Manhattan pós-apocalíptica há muito isolada do continente. A cidade em ruínas está cheia de mortos e habitantes que fizeram de Nova York seu próprio mundo cheio de anarquia, perigo, beleza e terror.",Terror
A Ilha Esquecida,Filme,2026.0,https://image.tmdb.org/t/p/w500/af0DhFJCsHZuq7AHueOpTdtgHeJ.jpg,Jo e Raissa se veem presas no fantástico mundo da ilha esquecida de Nakali. Elas descobrem que seu único caminho para casa pode custar uma vida inteira de memórias e emoções.,Blockbusters & Fura-Bolha
Re:ZERO -Starting Life in Another World-,Série,2016.0,https://image.tmdb.org/t/p/w500/ccG0ZfXOQ0834bIus4SwZrXtkyM.jpg,"Natsuki Subaru, um adolescente comum, conhece uma linda garota de cabelos prateados vinda de outro mundo. Subaru quer ficar ao lado dela, mas o fardo que ela carrega é maior do que Subaru pode imaginar. Eles enfrentam o feroz ataque de monstros, traições, violência irracional... e, por fim, a morte. Subaru promete derrotar qualquer inimigo, qualquer destino, tudo para protegê-la. E assim, o pobre garoto sem poder algum obtém o ""Retorno da Morte"", uma habilidade única que permite ao usuário voltar no tempo ao morrer. Usando esse poder, o passado é perdido e as memórias são reescritas.",Terror
Digger,Filme,2026.0,https://image.tmdb.org/t/p/w500/7i5SCCAooEriurXkraQ1t2stDZx.jpg,"O homem mais poderoso do mundo embarca em uma missão frenética para provar que é o salvador da humanidade, antes que o desastre desencadeado por ele destrua tudo.",Ação
